Product_1,Product_2,Product_3,Location,Profit
165349.2,136897.8,471784.1,City_1,192261.83
162597.7,151377.59,443898.53,City_2,191792.06
153441.51,101145.55,407934.54,City_3,191050.39
144372.41,118671.85,383199.62,City_1,182901.99
142107.34,91391.77,366168.42,City_3,166187.94
131876.9,99814.71,362861.36,City_1,156991.12
134615.46,147198.87,127716.82,City_2,156122.51
130298.13,145530.06,323876.68,City_3,155752.6
120542.52,148718.95,311613.29,City_1,152211.77
123334.88,108679.17,304981.62,City_2,149759.96
101913.08,110594.11,229160.95,City_3,146121.95
100671.96,91790.61,249744.55,City_2,144259.4
93863.75,127320.38,249839.44,City_3,141585.52
91992.39,135495.07,252664.93,City_2,134307.35
119943.24,156547.42,256512.92,City_3,132602.65
114523.61,122616.84,261776.23,City_1,129917.04
78013.11,121597.55,264346.06,City_2,126992.93
94657.16,145077.58,282574.31,City_1,125370.37
91749.16,114175.79,294919.57,City_3,124266.9
86419.7,153514.11,0,City_1,122776.86
76253.86,113867.3,298664.47,City_2,118474.03
78389.47,153773.43,299737.29,City_1,111313.02
73994.56,122782.75,303319.26,City_3,110352.25
67532.53,105751.03,304768.73,City_3,108733.99
77044.01,99281.34,140574.81,City_1,108552.04
64664.71,139553.16,137962.62,City_2,107404.34
75328.87,144135.98,134050.07,City_3,105733.54
72107.6,127864.55,353183.81,City_1,105008.31
66051.52,182645.56,118148.2,City_3,103282.38
65605.48,153032.06,107138.38,City_1,101004.64
61994.48,115641.28,91131.24,City_3,99937.59
61136.38,152701.92,88218.23,City_1,97483.56
63408.86,129219.61,46085.25,City_2,97427.84
55493.95,103057.49,214634.81,City_3,96778.92
46426.07,157693.92,210797.67,City_2,96712.8
46014.02,85047.44,205517.64,City_1,96479.51
28663.76,127056.21,201126.82,City_3,90708.19
44069.95,51283.14,197029.42,City_2,89949.14
20229.59,65947.93,185265.1,City_1,81229.06
38558.51,82982.09,174999.3,City_2,81005.76
28754.33,118546.05,172795.67,City_2,78239.91
27892.92,84710.77,164470.71,City_3,77798.83
23640.93,96189.63,148001.11,City_2,71498.49
15505.73,127382.3,35534.17,City_1,69758.98
22177.74,154806.14,28334.72,City_2,65200.33
1000.23,124153.04,1903.93,City_1,64926.08
1315.46,115816.21,297114.46,City_3,49490.75
0,135426.92,0,City_2,42559.73
542.05,51743.15,0,City_1,35673.41
0,116983.8,45173.06,City_2,14681.4
